Bill ID,Customer ID,Bill Date,Bill Amount,Previous Bill Amt,Payment Receivied,Bill Meter,Previous Meter,Usage,BTU Factor,Therms,Price Per Therm,Consumption Charge,Service Charge,Pass Through Charges,Taxes
1,1,2019-02-15,626.2,688.82,2019-03-01,159919,159225,694,1.032,716,0.582,417,27.94,154.29,26.97
2,1,2019-03-15,108.12,626.2,2019-03-24,160038,159919,119,1.032,123,0.582,72,4.82,26.64,4.66
3,1,2019-04-15,1.5,108.12,2019-04-22,160040,160038,2,1.032,2,0.582,1,0.07,0.37,0.06
4,1,2019-05-15,63.07,1.5,2019-05-19,160111,160040,71,1.032,73,0.582,42,2.81,15.54,2.72
5,1,2019-06-15,96.11,63.07,2019-06-18,160218,160111,107,1.032,110,0.582,64,4.29,23.68,4.14
6,1,2019-07-15,72.08,96.11,2019-08-03,160297,160218,79,1.032,82,0.582,48,3.22,17.76,3.1
7,1,2019-08-15,163.68,72.08,2019-08-23,160479,160297,182,1.032,188,0.582,109,7.3,40.33,7.05
8,1,2019-09-15,126.14,163.68,2019-09-29,160619,160479,140,1.032,144,0.582,84,5.63,31.08,5.43
9,1,2019-10-15,4.5,126.14,2019-11-04,160625,160619,6,1.032,6,0.582,3,0.2,1.11,0.19
10,1,2019-11-15,600.67,4.5,2019-11-17,161292,160625,667,1.032,688,0.582,400,26.8,148,25.87
11,1,2019-12-15,635.2,600.67,2019-12-18,161996,161292,704,1.032,727,0.582,423,28.34,156.51,27.35
12,1,2020-01-15,581.15,635.2,2020-01-21,162640,161996,644,1.032,665,0.582,387,25.93,143.19,25.03
13,2,2019-02-15,573.63,630.99,2019-03-06,134059,133422,637,1.032,657,0.582,382,25.59,141.34,24.7
14,2,2019-03-15,60.07,573.63,2019-03-28,134125,134059,66,1.032,68,0.582,40,2.68,14.8,2.59
15,2,2019-04-15,139.65,60.07,2019-05-03,134279,134125,154,1.032,159,0.582,93,6.23,34.41,6.01
16,2,2019-05-15,166.69,139.65,2019-06-02,134463,134279,184,1.032,190,0.582,111,7.44,41.07,7.18
17,2,2019-06-15,156.18,166.69,2019-06-26,134635,134463,172,1.032,178,0.582,104,6.97,38.48,6.73
18,2,2019-07-15,16.52,156.18,2019-07-31,134653,134635,18,1.032,19,0.582,11,0.74,4.07,0.71
19,2,2019-08-15,103.61,16.52,2019-09-01,134768,134653,115,1.032,119,0.582,69,4.62,25.53,4.46
20,2,2019-09-15,10.51,103.61,2019-09-30,134780,134768,12,1.032,12,0.582,7,0.47,2.59,0.45
21,2,2019-10-15,174.19,10.51,2019-10-26,134973,134780,193,1.032,199,0.582,116,7.77,42.92,7.5
22,2,2019-11-15,605.17,174.19,2019-11-25,135644,134973,671,1.032,692,0.582,403,27,149.11,26.06
23,2,2019-12-15,689.26,605.17,2019-12-22,136408,135644,764,1.032,788,0.582,459,30.75,169.83,29.68
24,2,2020-01-15,584.14,689.26,2020-01-24,137056,136408,648,1.032,669,0.582,389,26.06,143.93,25.15
25,3,2019-02-15,758.35,834.18,2019-02-26,566335,565495,840,1.032,867,0.582,505,33.84,186.85,32.66
26,3,2019-03-15,102.12,758.35,2019-04-01,566448,566335,113,1.032,117,0.582,68,4.56,25.16,4.4
27,3,2019-04-15,30.03,102.12,2019-04-20,566482,566448,34,1.032,35,0.582,20,1.34,7.4,1.29
28,3,2019-05-15,136.65,30.03,2019-05-24,566634,566482,152,1.032,157,0.582,91,6.1,33.67,5.88
29,3,2019-06-15,25.53,136.65,2019-07-02,566662,566634,28,1.032,29,0.582,17,1.14,6.29,1.1
30,3,2019-07-15,76.59,25.53,2019-07-26,566746,566662,84,1.032,87,0.582,51,3.42,18.87,3.3
31,3,2019-08-15,39.04,76.59,2019-09-01,566790,566746,44,1.032,45,0.582,26,1.74,9.62,1.68
32,3,2019-09-15,49.55,39.04,2019-09-15,566844,566790,54,1.032,56,0.582,33,2.21,12.21,2.13
33,3,2019-10-15,4.5,49.55,2019-10-15,566849,566844,5,1.032,5,0.582,3,0.2,1.11,0.19
34,3,2019-11-15,855.95,4.5,2019-11-20,567798,566849,949,1.032,979,0.582,570,38.19,210.9,36.86
35,3,2019-12-15,837.93,855.95,2020-01-04,568727,567798,929,1.032,959,0.582,558,37.39,206.46,36.08
36,3,2020-01-15,827.42,837.93,2020-01-25,569645,568727,918,1.032,947,0.582,551,36.92,203.87,35.63
37,4,2019-02-15,869.46,956.41,2019-02-20,112724,111760,964,1.032,995,0.582,579,38.79,214.23,37.44
38,4,2019-03-15,64.57,869.46,2019-03-29,112796,112724,72,1.032,74,0.582,43,2.88,15.91,2.78
39,4,2019-04-15,144.16,64.57,2019-05-03,112956,112796,160,1.032,165,0.582,96,6.43,35.52,6.21
40,4,2019-05-15,63.07,144.16,2019-06-04,113026,112956,70,1.032,72,0.582,42,2.81,15.54,2.72
41,4,2019-06-15,150.17,63.07,2019-06-24,113193,113026,167,1.032,172,0.582,100,6.7,37,6.47
42,4,2019-07-15,159.17,150.17,2019-07-16,113369,113193,176,1.032,182,0.582,106,7.1,39.22,6.85
43,4,2019-08-15,132.15,159.17,2019-09-01,113516,113369,147,1.032,152,0.582,88,5.9,32.56,5.69
44,4,2019-09-15,177.2,132.15,2019-09-16,113713,113516,197,1.032,203,0.582,118,7.91,43.66,7.63
45,4,2019-10-15,162.18,177.2,2019-10-23,113892,113713,179,1.032,185,0.582,108,7.24,39.96,6.98
46,4,2019-11-15,864.96,162.18,2019-11-28,114850,113892,958,1.032,989,0.582,576,38.59,213.12,37.25
47,4,2019-12-15,971.58,864.96,2019-12-18,115928,114850,1078,1.032,1112,0.582,647,43.35,239.39,41.84
48,4,2020-01-15,834.92,971.58,2020-01-26,116853,115928,925,1.032,955,0.582,556,37.25,205.72,35.95
49,5,2019-02-15,225.25,247.78,2019-03-05,16152,15903,249,1.032,257,0.582,150,10.05,55.5,9.7
50,5,2019-03-15,34.54,225.25,2019-03-15,16191,16152,39,1.032,40,0.582,23,1.54,8.51,1.49
51,5,2019-04-15,115.63,34.54,2019-04-17,16319,16191,128,1.032,132,0.582,77,5.16,28.49,4.98
52,5,2019-05-15,31.54,115.63,2019-05-19,16354,16319,35,1.032,36,0.582,21,1.41,7.77,1.36
53,5,2019-06-15,55.56,31.54,2019-06-30,16415,16354,61,1.032,63,0.582,37,2.48,13.69,2.39
54,5,2019-07-15,132.15,55.56,2019-07-31,16562,16415,147,1.032,152,0.582,88,5.9,32.56,5.69
55,5,2019-08-15,127.65,132.15,2019-08-16,16703,16562,141,1.032,146,0.582,85,5.7,31.45,5.5
56,5,2019-09-15,142.65,127.65,2019-10-03,16861,16703,158,1.032,163,0.582,95,6.36,35.15,6.14
57,5,2019-10-15,48.05,142.65,2019-10-16,16914,16861,53,1.032,55,0.582,32,2.14,11.84,2.07
58,5,2019-11-15,97.61,48.05,2019-11-26,17022,16914,108,1.032,111,0.582,65,4.36,24.05,4.2
59,5,2019-12-15,100.61,97.61,2020-01-02,17133,17022,111,1.032,115,0.582,67,4.49,24.79,4.33
60,5,2020-01-15,204.22,100.61,2020-01-18,17359,17133,226,1.032,233,0.582,136,9.11,50.32,8.79
61,6,2019-02-15,231.26,254.39,2019-02-19,74070,73814,256,1.032,264,0.582,154,10.32,56.98,9.96
62,6,2019-03-15,16.52,231.26,2019-04-04,74088,74070,18,1.032,19,0.582,11,0.74,4.07,0.71
63,6,2019-04-15,13.51,16.52,2019-04-18,74103,74088,15,1.032,15,0.582,9,0.6,3.33,0.58
64,6,2019-05-15,25.53,13.51,2019-05-25,74132,74103,29,1.032,30,0.582,17,1.14,6.29,1.1
65,6,2019-06-15,31.54,25.53,2019-06-23,74167,74132,35,1.032,36,0.582,21,1.41,7.77,1.36
66,6,2019-07-15,54.06,31.54,2019-07-29,74227,74167,60,1.032,62,0.582,36,2.41,13.32,2.33
67,6,2019-08-15,132.15,54.06,2019-09-03,74373,74227,146,1.032,151,0.582,88,5.9,32.56,5.69
68,6,2019-09-15,175.7,132.15,2019-09-27,74568,74373,195,1.032,201,0.582,117,7.84,43.29,7.57
69,6,2019-10-15,127.65,175.7,2019-10-31,74709,74568,141,1.032,146,0.582,85,5.7,31.45,5.5
70,6,2019-11-15,366.41,127.65,2019-11-19,75116,74709,407,1.032,420,0.582,244,16.35,90.28,15.78
71,6,2019-12-15,216.24,366.41,2019-12-16,75355,75116,239,1.032,247,0.582,144,9.65,53.28,9.31
72,6,2020-01-15,240.27,216.24,2020-01-21,75621,75355,266,1.032,275,0.582,160,10.72,59.2,10.35
73,7,2019-02-15,731.31,804.44,2019-03-05,350730,349920,810,1.032,836,0.582,487,32.63,180.19,31.49
74,7,2019-03-15,166.69,731.31,2019-03-27,350915,350730,185,1.032,191,0.582,111,7.44,41.07,7.18
75,7,2019-04-15,172.69,166.69,2019-04-28,351106,350915,191,1.032,197,0.582,115,7.7,42.55,7.44
76,7,2019-05-15,175.7,172.69,2019-05-24,351301,351106,195,1.032,201,0.582,117,7.84,43.29,7.57
77,7,2019-06-15,4.5,175.7,2019-07-01,351307,351301,6,1.032,6,0.582,3,0.2,1.11,0.19
78,7,2019-07-15,7.51,4.5,2019-07-19,351315,351307,8,1.032,8,0.582,5,0.34,1.85,0.32
79,7,2019-08-15,66.08,7.51,2019-09-01,351388,351315,73,1.032,75,0.582,44,2.95,16.28,2.85
80,7,2019-09-15,168.18,66.08,2019-10-04,351575,351388,187,1.032,193,0.582,112,7.5,41.44,7.24
81,7,2019-10-15,91.6,168.18,2019-10-19,351677,351575,102,1.032,105,0.582,61,4.09,22.57,3.94
82,7,2019-11-15,792.88,91.6,2019-11-21,352556,351677,879,1.032,907,0.582,528,35.38,195.36,34.14
83,7,2019-12-15,707.29,792.88,2019-12-22,353340,352556,784,1.032,809,0.582,471,31.56,174.27,30.46
84,7,2020-01-15,815.4,707.29,2020-01-18,354244,353340,904,1.032,933,0.582,543,36.38,200.91,35.11
85,8,2019-02-15,97.61,107.37,2019-02-26,13593,13485,108,1.032,111,0.582,65,4.36,24.05,4.2
86,8,2019-03-15,120.13,97.61,2019-03-30,13727,13593,134,1.032,138,0.582,80,5.36,29.6,5.17
87,8,2019-04-15,103.61,120.13,2019-04-29,13841,13727,114,1.032,118,0.582,69,4.62,25.53,4.46
88,8,2019-05-15,142.65,103.61,2019-05-25,13999,13841,158,1.032,163,0.582,95,6.36,35.15,6.14
89,8,2019-06-15,142.65,142.65,2019-06-26,14157,13999,158,1.032,163,0.582,95,6.36,35.15,6.14
90,8,2019-07-15,30.03,142.65,2019-08-04,14190,14157,33,1.032,34,0.582,20,1.34,7.4,1.29
91,8,2019-08-15,100.61,30.03,2019-08-19,14301,14190,111,1.032,115,0.582,67,4.49,24.79,4.33
92,8,2019-09-15,81.09,100.61,2019-09-25,14391,14301,90,1.032,93,0.582,54,3.62,19.98,3.49
93,8,2019-10-15,150.17,81.09,2019-10-18,14557,14391,166,1.032,171,0.582,100,6.7,37,6.47
94,8,2019-11-15,120.13,150.17,2019-12-04,14691,14557,134,1.032,138,0.582,80,5.36,29.6,5.17
95,8,2019-12-15,142.65,120.13,2020-01-03,14850,14691,159,1.032,164,0.582,95,6.36,35.15,6.14
96,8,2020-01-15,150.17,142.65,2020-01-17,15016,14850,166,1.032,171,0.582,100,6.7,37,6.47
97,9,2019-02-15,46.55,51.2,2019-02-16,24692,24640,52,1.032,54,0.582,31,2.08,11.47,2
98,9,2019-03-15,72.08,46.55,2019-03-18,24772,24692,80,1.032,83,0.582,48,3.22,17.76,3.1
